run,max_size,greedy_overlap_min,greedy_overlap_max,beam_overlap_min,beam_overlap_max,runtime_brute,runtime_greedy,runtime_beam
1,5,0.6,0.8,0.6,0.8,0.00878,0.001543,0.001598
1,5,0.8,0.4,0.8,0.4,0.008659,0.001503,0.001553
1,5,0.8,0.8,0.8,0.8,0.008639,0.001498,0.001552
1,6,0.67,0.67,0.67,0.67,0.009354,0.001788,0.001836
1,6,1.0,0.67,1.0,0.67,0.009333,0.001816,0.001829
1,6,0.5,0.83,0.5,0.83,0.009252,0.001732,0.001809
1,7,0.57,0.86,0.57,0.86,0.007,0.001945,0.001995
1,7,1.0,0.71,1.0,0.71,0.006984,0.001927,0.001982
1,7,0.57,0.57,0.57,0.57,0.006972,0.001921,0.001975
1,11,1.0,1.0,1.0,1.0,6.3e-05,0.002544,0.002812
1,11,1.0,1.0,1.0,1.0,3.8e-05,0.002456,0.002534
1,11,1.0,1.0,1.0,1.0,3.6e-05,0.003098,0.002499
2,5,0.8,1.0,0.8,1.0,0.008746,0.001528,0.001553
2,5,1.0,0.6,1.0,0.6,0.008617,0.001502,0.00165
2,5,1.0,0.2,1.0,0.2,0.008619,0.001499,0.001546
2,6,0.83,0.83,0.83,0.83,0.009406,0.001765,0.001813
2,6,0.5,0.5,0.5,0.5,0.009298,0.001739,0.001793
2,6,1.0,0.5,1.0,0.5,0.009466,0.001781,0.001795
2,7,0.86,1.0,0.86,1.0,0.007089,0.001951,0.002035
2,7,1.0,0.71,1.0,0.71,0.007002,0.001937,0.002011
2,7,1.0,1.0,1.0,1.0,0.007027,0.001941,0.002022
2,11,1.0,1.0,1.0,1.0,5.3e-05,0.002395,0.002489
2,11,1.0,1.0,1.0,1.0,3.2e-05,0.002429,0.002474
2,11,1.0,1.0,1.0,1.0,3e-05,0.002391,0.002456
3,5,0.6,0.8,0.6,0.8,0.008683,0.001538,0.001558
3,5,0.2,0.6,0.2,0.6,0.008656,0.001522,0.001552
3,5,1.0,1.0,1.0,1.0,0.008661,0.001531,0.00156
3,6,0.83,1.0,0.83,1.0,0.009349,0.001786,0.001796
3,6,1.0,1.0,1.0,1.0,0.009243,0.001743,0.001786
3,6,0.83,1.0,0.83,1.0,0.009328,0.001724,0.00178
3,7,0.57,0.71,0.57,0.71,0.007039,0.001933,0.001986
3,7,0.71,0.86,0.71,0.86,0.006987,0.001925,0.001977
3,7,1.0,0.71,1.0,0.71,0.006995,0.00195,0.002
3,11,1.0,1.0,1.0,1.0,5.2e-05,0.002434,0.002451
3,11,1.0,1.0,1.0,1.0,3.3e-05,0.002361,0.002429
3,11,1.0,1.0,1.0,1.0,3.1e-05,0.002355,0.002427
4,5,1.0,0.4,1.0,0.4,0.008708,0.001518,0.001563
4,5,0.8,0.8,0.8,0.8,0.008661,0.0015,0.001549
4,5,1.0,1.0,1.0,1.0,0.008652,0.001491,0.001539
4,6,0.83,0.67,0.83,0.67,0.009328,0.001772,0.001847
4,6,1.0,0.67,1.0,0.67,0.009304,0.001727,0.001913
4,6,0.83,1.0,0.83,1.0,0.009286,0.001741,0.001798
4,7,0.86,0.86,0.86,0.86,0.007064,0.001949,0.00201
4,7,0.86,0.86,0.86,0.86,0.007001,0.001941,0.002003
4,7,0.57,0.86,0.57,0.86,0.006996,0.001933,0.001989
4,11,1.0,1.0,1.0,1.0,5.6e-05,0.002421,0.002452
4,11,1.0,1.0,1.0,1.0,3.3e-05,0.002384,0.002453
4,11,1.0,1.0,1.0,1.0,3.1e-05,0.002354,0.002422
5,5,1.0,0.8,1.0,0.8,0.008726,0.001533,0.001569
5,5,0.4,1.0,0.4,1.0,0.008679,0.001512,0.001562
5,5,0.6,0.8,0.6,0.8,0.008679,0.001508,0.001556
5,6,1.0,0.5,1.0,0.5,0.009495,0.001774,0.001803
5,6,1.0,0.5,1.0,0.5,0.009249,0.001757,0.001977
5,6,1.0,0.83,1.0,0.83,0.009257,0.001761,0.001795
5,7,0.86,0.86,0.86,0.86,0.00703,0.001944,0.001997
5,7,0.86,1.0,0.86,1.0,0.007003,0.001938,0.001992
5,7,0.86,0.57,0.86,0.57,0.007022,0.00194,0.001994
5,11,1.0,1.0,1.0,1.0,5.1e-05,0.002404,0.002453
5,11,1.0,1.0,1.0,1.0,3.2e-05,0.002385,0.002458
5,11,1.0,1.0,1.0,1.0,3.1e-05,0.002386,0.00246
6,5,0.6,1.0,0.6,1.0,0.009099,0.001565,0.001617
